,feature,coef,std err,t,P>|t|,[0.025],[0.975],Coefficient_sklearn
0,Intercept,10.450357340306441,0.4618172352103479,22.62877290741764,4.598010392271045e-88,9.543844133422654,11.356870547190228,
1,PropertyType,0.19874086396102003,0.029710483025148293,6.689250517832268,4.2064337581704546e-11,0.14042137479573125,0.2570603531263088,0.20884528263385527
2,NUMBER_HABITABLE_ROOMS,0.1716759253349666,0.011171321584505043,15.367557368779558,6.623159767444407e-47,0.1497474441467599,0.1936044065231733,0.17856326551869448
3,EXTENSION_COUNT,0.06755697308033838,0.021573687830903795,3.131452239869932,0.0018025573928909082,0.0252094133774299,0.10990453278324686,0.06162879674981595
4,BUILT_FORM,0.02454994999227207,0.01065232371052947,2.3046567734329417,0.021440409009192175,0.003640223391882292,0.045459676592661855,0.01649717198266782
5,EE_POTENTIAL_IMPROVEMENT,0.01710667698213821,0.0060678310466100215,2.8192408210995548,0.004932376185412111,0.0051959717041377765,0.02901738226013864,0.01795290830430461
6,Mean_agg_dist_km,0.014959930374874779,0.009473951781084986,1.579059163541734,0.11471679388782785,-0.003636738948265465,0.03355659969801502,0.01759491547410467
7,CURRENT_ENERGY_EFFICIENCY,0.008220845454339239,0.004201811070685848,1.9565004984856151,0.05075290416231385,-2.7000095799900245e-05,0.016468691004478377,0.00866601364675689
8,Closest_dist_km,0.007749497731152914,0.0065373097168985456,1.1854261258451526,0.23620012191346448,-0.005082759586309492,0.02058175504861532,0.005655046983701929
9,EC_POTENTIAL_IMPROVEMENT,0.0010550241895856678,0.0007465976320878603,1.413109477236477,0.15801151395936344,-0.00041049195427920993,0.0025205403334505458,0.0012512964591585157
10,TOTAL_FLOOR_AREA,0.00011770245422948622,0.00014854787054349616,0.7923536958075873,0.4283887795728393,-0.0001738860709168465,0.000409290979375819,8.47858488867001e-05
11,ENERGY_CONSUMPTION_CURRENT,-3.534643153104465e-05,0.00047715485600521846,-0.07407748467021381,0.9409672024478093,-0.0009719662579878168,0.0009012733949257275,8.754574901270343e-05
12,NewBuild,-0.010929188368694803,0.07572323974472178,-0.14433070224595893,0.8852755950970149,-0.15956832884025315,0.13770995210286355,-0.05419674960624594
13,Num_station,-0.02656577172030517,0.006304571968446968,-4.213731218116181,2.797163673018879e-05,-0.03894118198524115,-0.014190361455369194,-0.026892781354796322
14,MAINS_GAS_FLAG,-0.07670551792603722,0.07862689132042225,-0.9755634063344181,0.3295750251320051,-0.23104431250505322,0.07763327665297878,-0.09820270359595451
15,Tenure,-0.32269798719725623,0.0704522274810788,-4.580380191441392,5.379220682023459e-06,-0.46099051895365395,-0.1844054554408585,-0.3663791196214573
